date,avg_temperature,humidity,energy_consumption,urban_population,energy_price
2020-01-01,28.29,31.08,11348.75,76.39,83.93
2020-01-02,28.38,37.94,4166.64,86.26,110.4
2020-01-03,28.74,57.67,4503.8,75.92,173.58
2020-01-04,26.66,51.34,3259.13,63.15,89.13
2020-01-05,26.81,65.38,7023.72,76.02,40.6
2020-01-06,27.81,32.92,11955.99,78.71,128.62
2020-01-07,29.25,59.4,4023.14,75.15,96.99
2020-01-08,28.9,55.12,5582.5,65.77,70.62
2020-01-09,26.98,88.36,7129.83,81.62,62.45
2020-01-10,27.05,31.19,4006.5,85.8,32.5
2020-01-11,28.75,89.33,1826.43,61.75,182.8
2020-01-12,28.32,48.71,11142.89,88.69,98.55
2020-01-13,27.71,69.36,4082.0,78.04,64.2
2020-01-14,29.47,67.07,6209.55,61.31,169.26
2020-01-15,28.74,33.99,9372.75,79.02,161.27
2020-01-16,28.6,88.14,4222.41,89.61,36.74
2020-01-17,29.76,87.99,7873.18,87.89,162.55
2020-01-18,28.52,30.67,6818.65,86.08,118.72
2020-01-19,28.83,41.36,11325.05,77.92,34.67
2020-01-20,29.24,67.17,3711.64,70.4,84.28
2020-01-21,29.99,73.81,6296.38,72.98,95.39
2020-01-22,27.68,60.46,1701.11,88.92,144.6
2020-01-23,28.57,43.33,9347.77,70.04,89.69
2020-01-24,26.67,49.9,9811.14,81.17,129.29
2020-01-25,29.04,35.25,3840.67,62.59,119.29
2020-01-26,29.4,57.38,9874.91,67.38,91.84
2020-01-27,29.57,61.48,9560.11,71.33,193.54
2020-01-28,29.12,78.86,3613.73,73.74,195.12
2020-01-29,28.47,69.43,8347.11,69.61,52.34
2020-01-30,26.73,73.36,8650.0,71.27,175.57
2020-01-31,29.6,72.51,7990.14,62.93,192.98
2020-02-01,30.68,78.87,6768.59,63.06,49.45
2020-02-02,32.94,34.06,1902.59,62.95,154.68
2020-02-03,29.58,78.53,11751.94,80.81,70.29
2020-02-04,32.77,57.18,9731.73,85.75,166.09
2020-02-05,32.49,42.64,8058.8,84.89,164.51
2020-02-06,32.11,59.6,4744.98,79.24,169.1
2020-02-07,34.58,66.09,14916.15,63.26,64.82
2020-02-08,34.78,66.09,6204.52,85.23,181.33
2020-02-09,30.55,55.14,4047.52,63.48,145.43
2020-02-10,35.02,78.29,12767.87,88.96,163.44
2020-02-11,32.66,63.17,1885.76,86.02,191.62
2020-02-12,30.07,56.37,2722.01,63.86,170.22
2020-02-13,33.14,67.02,5040.88,87.12,155.26
2020-02-14,31.29,55.78,13015.97,79.43,35.83
2020-02-15,30.68,40.64,5868.49,78.31,170.47
2020-02-16,30.44,50.62,14358.32,66.24,78.34
2020-02-17,29.79,75.74,9986.24,79.65,129.35
2020-02-18,29.97,31.75,13826.53,77.32,113.0
2020-02-19,30.48,30.11,10015.62,70.66,104.05
2020-02-20,30.49,53.95,2441.82,67.85,122.18
2020-02-21,30.91,62.53,8172.66,60.47,130.16
2020-02-22,34.41,86.16,7681.87,87.69,145.68
2020-02-23,30.76,51.2,4540.99,79.52,178.28
2020-02-24,31.58,54.15,11762.45,71.03,58.23
2020-02-25,33.64,87.25,7062.98,67.9,34.68
2020-02-26,32.83,68.79,5163.89,71.28,143.32
2020-02-27,31.79,64.2,6404.09,83.26,188.75
2020-02-28,32.68,61.78,2963.86,65.98,147.63
2020-02-29,32.27,69.48,4051.86,69.25,103.12
2020-03-01,36.53,34.45,9650.48,75.49,83.33
2020-03-02,33.38,39.65,13218.7,79.89,197.19
2020-03-03,37.08,35.18,2316.9,64.04,43.05
2020-03-04,33.14,30.42,9996.32,85.21,172.12
2020-03-05,30.8,55.14,10260.59,86.78,104.7
2020-03-06,34.74,40.32,10353.21,75.65,52.68
2020-03-07,35.55,49.53,8308.2,75.09,153.71
2020-03-08,35.31,67.13,11465.36,64.1,80.04
2020-03-09,31.0,83.73,15571.63,86.65,121.42
2020-03-10,34.52,74.11,4955.51,78.41,141.24
2020-03-11,36.05,88.64,2751.45,76.24,147.1
2020-03-12,32.6,51.92,7228.56,65.42,146.31
2020-03-13,33.39,79.21,12036.99,65.11,182.99
2020-03-14,34.5,60.17,12281.41,80.37,35.18
2020-03-15,36.28,42.23,4359.44,69.77,46.99
2020-03-16,35.99,81.57,4861.72,89.64,164.04
2020-03-17,31.15,39.63,12535.68,74.91,159.31
2020-03-18,31.14,38.48,7480.99,73.13,128.35
2020-03-19,35.73,33.37,5589.76,65.91,67.23
2020-03-20,31.18,64.04,8328.66,80.83,151.14
2020-03-21,30.79,35.71,6960.68,81.78,76.56
2020-03-22,35.55,63.71,3946.71,83.14,129.39
2020-03-23,35.54,68.3,15006.93,67.31,66.82
2020-03-24,36.87,54.62,3539.39,80.46,33.0
2020-03-25,31.52,82.4,8123.51,68.78,98.06
2020-03-26,33.76,56.09,15073.69,82.57,180.01
2020-03-27,36.98,32.67,11786.22,66.66,172.18
2020-03-28,37.15,80.75,15691.26,89.27,84.17
2020-03-29,36.69,74.5,5216.4,82.32,36.9
2020-03-30,36.97,34.03,8387.79,62.97,112.65
2020-03-31,34.33,33.74,10830.5,74.77,191.5
2020-04-01,34.69,38.84,12801.03,89.84,81.1
2020-04-02,32.59,59.74,2609.17,67.05,56.85
2020-04-03,31.15,83.53,14774.63,65.42,182.0
2020-04-04,32.16,41.42,7512.42,85.77,153.28
2020-04-05,34.53,38.21,6239.39,79.56,187.81
2020-04-06,33.19,84.03,4072.95,69.13,61.6
2020-04-07,29.51,46.32,6912.38,67.34,51.37
2020-04-08,35.01,54.49,2591.17,89.76,119.18
2020-04-09,31.48,86.63,10326.94,87.38,37.65
2020-04-10,33.42,47.38,10926.18,72.14,91.72
2020-04-11,33.98,39.95,4837.06,87.65,162.57
2020-04-12,33.82,50.37,8768.07,63.43,144.82
2020-04-13,33.79,41.13,3072.27,74.37,94.49
2020-04-14,33.36,34.17,11583.32,65.67,76.57
2020-04-15,31.15,79.93,12815.56,81.7,185.34
2020-04-16,32.83,50.87,8392.22,88.62,118.59
2020-04-17,33.17,88.37,8127.43,63.18,147.91
2020-04-18,33.36,51.38,3818.58,68.86,64.38
2020-04-19,32.74,89.28,13707.73,69.21,36.38
2020-04-20,33.4,77.4,9957.17,65.98,153.42
2020-04-21,33.99,78.23,2607.31,78.1,78.34
2020-04-22,29.54,68.49,3865.88,75.36,148.63
2020-04-23,32.79,55.63,8992.8,67.14,183.03
2020-04-24,34.06,88.6,9757.31,83.69,52.83
2020-04-25,33.55,30.27,14736.76,85.75,68.24
2020-04-26,31.66,46.67,6273.14,77.56,57.96
2020-04-27,30.76,72.38,11776.65,61.45,70.26
2020-04-28,30.68,79.4,10146.96,60.08,61.23
2020-04-29,32.02,39.71,2070.97,77.52,33.98
2020-04-30,31.25,59.28,13951.34,65.24,41.83
2020-05-01,28.27,66.75,7046.64,87.74,125.1
2020-05-02,29.62,55.18,2007.23,61.48,184.55
2020-05-03,29.25,53.77,6975.73,80.78,175.16
2020-05-04,28.77,49.18,5823.43,64.97,84.68
2020-05-05,27.01,85.41,7845.34,86.11,194.29
2020-05-06,29.0,61.4,9173.75,64.84,108.31
2020-05-07,28.73,33.15,10677.15,79.7,129.32
2020-05-08,27.58,71.85,2400.48,76.21,86.16
2020-05-09,27.51,72.95,9895.94,64.05,59.0
2020-05-10,26.54,60.0,11709.31,86.16,176.58
2020-05-11,27.2,86.64,6653.57,65.43,123.98
2020-05-12,28.66,40.19,9110.29,63.28,154.69
2020-05-13,28.38,63.41,11604.27,81.31,51.47
2020-05-14,28.95,66.25,5537.23,65.45,45.64
2020-05-15,29.24,76.42,10570.35,79.32,176.95
2020-05-16,27.84,66.55,7329.68,66.76,86.41
2020-05-17,27.88,60.78,11343.06,63.14,199.4
2020-05-18,28.36,60.94,8890.9,61.68,101.91
2020-05-19,26.5,64.46,6513.41,76.82,196.53
2020-05-20,28.59,40.49,10459.63,63.29,49.71
2020-05-21,28.45,60.46,11357.31,79.52,197.94
2020-05-22,28.57,84.73,11854.58,73.59,138.13
2020-05-23,27.1,40.89,3413.72,76.5,139.71
2020-05-24,27.4,73.25,8551.78,63.39,199.55
2020-05-25,28.96,69.41,5261.78,85.92,32.69
2020-05-26,27.57,84.93,11569.43,89.22,138.51
2020-05-27,27.62,31.17,7099.38,68.2,137.04
2020-05-28,26.79,43.92,2315.93,64.04,105.46
2020-05-29,29.03,50.15,4800.02,69.08,132.23
2020-05-30,28.62,73.72,7873.45,65.46,58.88
2020-05-31,29.48,44.0,2404.31,78.68,71.07
2020-06-01,22.49,61.6,7972.31,67.57,150.52
2020-06-02,22.49,35.65,7699.57,86.74,112.28
2020-06-03,22.49,49.75,4553.09,71.53,177.08
2020-06-04,22.49,46.06,2030.2,85.59,108.74
2020-06-05,22.49,52.89,5606.99,68.18,153.47
2020-06-06,22.49,55.5,5524.97,62.69,105.27
2020-06-07,22.49,88.4,4021.86,86.95,198.93
2020-06-08,22.49,40.48,6983.04,82.95,81.93
2020-06-09,22.49,76.66,1144.24,63.18,193.31
2020-06-10,22.49,38.72,7217.81,82.6,36.84
2020-06-11,22.49,89.88,4409.47,76.19,69.6
2020-06-12,22.49,30.52,3434.64,81.54,77.57
2020-06-13,22.49,47.02,4137.3,86.78,170.54
2020-06-14,22.49,73.14,1119.81,88.68,88.59
2020-06-15,22.49,38.1,2586.44,86.14,37.61
2020-06-16,22.49,50.14,2669.79,76.75,42.18
2020-06-17,22.49,50.39,5160.04,81.45,47.09
2020-06-18,22.49,51.07,4893.53,83.59,167.19
2020-06-19,22.49,56.26,3635.36,62.22,142.16
2020-06-20,22.49,82.89,6257.81,70.35,45.42
2020-06-21,22.49,69.1,3082.68,79.3,33.92
2020-06-22,22.49,34.76,2769.41,81.22,98.82
2020-06-23,22.49,84.12,6056.62,61.49,99.28
2020-06-24,22.49,64.77,5863.36,69.64,198.84
2020-06-25,22.49,81.32,3004.11,76.35,198.87
2020-06-26,22.49,72.01,7596.09,62.15,118.64
2020-06-27,22.49,68.85,1435.12,88.2,71.05
2020-06-28,22.49,57.38,3883.77,63.49,153.8
2020-06-29,22.49,82.64,3532.14,79.63,62.84
2020-06-30,22.49,40.15,1797.56,86.68,42.76
2020-07-01,18.14,39.06,7488.33,65.05,146.97
2020-07-02,16.72,38.16,8905.51,78.85,139.13
2020-07-03,16.25,32.04,8331.26,67.92,91.78
2020-07-04,18.23,87.88,3860.32,84.15,171.0
2020-07-05,15.6,48.56,10603.85,81.1,65.91
2020-07-06,18.29,57.95,8146.81,62.11,108.85
2020-07-07,18.44,35.77,3194.58,79.13,125.61
2020-07-08,16.41,58.07,3986.62,69.25,123.18
2020-07-09,16.84,62.22,4443.37,60.07,150.05
2020-07-10,17.76,37.37,4048.21,73.25,60.17
2020-07-11,17.06,48.17,8648.81,67.12,184.9
2020-07-12,15.71,51.48,2054.0,88.7,197.6
2020-07-13,16.85,71.97,11359.69,63.87,182.74
2020-07-14,15.7,44.59,8971.14,63.82,55.92
2020-07-15,16.82,46.36,5888.6,62.95,39.99
2020-07-16,17.68,70.23,8010.85,85.15,194.58
2020-07-17,16.04,81.31,5048.88,67.81,166.23
2020-07-18,15.67,40.88,10994.53,62.16,72.62
2020-07-19,18.15,32.96,6372.81,77.31,124.3
2020-07-20,16.02,88.06,9719.91,60.1,107.5
2020-07-21,15.53,30.91,11903.36,88.4,136.41
2020-07-22,15.99,76.29,3898.14,83.73,83.19
2020-07-23,15.14,32.65,6794.98,71.6,73.37
2020-07-24,17.19,67.7,4425.56,76.15,94.86
2020-07-25,16.82,57.42,6483.69,85.81,75.68
2020-07-26,15.99,89.38,6099.77,78.58,89.6
2020-07-27,16.02,56.72,3742.38,65.1,163.53
2020-07-28,16.86,63.85,5021.52,66.22,196.78
2020-07-29,15.77,62.11,4235.78,62.38,61.14
2020-07-30,15.36,85.09,7965.03,76.01,41.73
2020-07-31,16.92,35.17,11734.93,78.77,82.44
2020-08-01,10.86,86.18,11436.14,77.26,170.96
2020-08-02,14.09,59.22,12391.27,79.11,195.74
2020-08-03,9.57,82.09,13859.64,65.43,131.27
2020-08-04,13.38,81.33,5558.87,80.07,35.24
2020-08-05,9.56,75.69,11886.5,83.68,168.91
2020-08-06,13.85,76.18,3403.6,77.19,65.56
2020-08-07,13.76,60.08,14229.94,83.39,190.61
2020-08-08,13.98,86.33,5151.71,88.49,123.99
2020-08-09,15.27,71.68,8507.14,77.98,58.49
2020-08-10,12.37,66.18,13902.23,65.55,151.31
2020-08-11,14.79,31.45,7658.84,72.94,199.59
2020-08-12,14.48,57.13,4568.45,67.28,155.92
